// ******** psp104 nmos paramset ********
// lukas deutz 2025
paramset N1 PSP104VA;
   parameter real l=1.0u;
   parameter real w=1.0u;
   parameter integer nf=1;
   parameter real ad=1.0e-12;
   parameter real pd=1.0e-6;
   parameter real as=1.0e-12;
   parameter real ps=1.0e-6;
   parameter real sa=0.0;
   parameter real sb=0.0;
   parameter real sd=0.0;
 .TYPE=1; .L=l; .W=w; .NF=nf; .AD=ad; .PD=pd; .AS=as; .PS=ps; .SA=sa; .SB=sb; .SD=sd;
endparamset

// ******** psp104 pmos paramset ********
// lukas deutz 2025
paramset P1 PSP104VA;
   parameter real l=1.0u;
   parameter real w=1.0u;
   parameter integer nf=1;
   parameter real ad=1.0e-12;
   parameter real pd=1.0e-6;
   parameter real as=1.0e-12;
   parameter real ps=1.0e-6;
   parameter real sa=0.0;
   parameter real sb=0.0;
   parameter real sd=0.0;
 .TYPE=(- 1); .L=l; .W=w; .NF=nf; .AD=ad; .PD=pd; .AS=as; .PS=ps; .SA=sa; .SB=sb; .SD=sd;
endparamset

//* 17-stage CMOS ring oscillator (tran) ported from BSIM481/benchmark_test/ro_17.b4
//* Enable verilog mode
ground \0 ;
// cmos inverter
module not1 (.z(z),.a(a),.vss(vss),.vdd(vdd));
  P1 #(.l(0.18u),.w(10u),.ad(5p),.pd(22u),.as(5p),.ps(22u),.sa(2u),.sb(8u),.nf(3),.sd(0.2u)) m01 (.d(z),.g(a),.s(vdd),.b(vdd));
  N1 #(.l(0.18u),.w(5u),.ad(5p),.pd(22u),.as(5p),.ps(22u),.sa(2u),.sb(8u),.nf(3),.sd(0.2u)) m02 (.d(z),.g(a),.s(vss),.b(vss));
endmodule // not1

// 17-stage ring oscillator
resistor #(.r(1G)) rkick (.p(n02),.n(\0 ));
not1 #() X01 (.z(n03),.a(n02),.vss(\0 ),.vdd(n01));
not1 #() X02 (.z(n04),.a(n03),.vss(\0 ),.vdd(n01));
not1 #() X03 (.z(n05),.a(n04),.vss(\0 ),.vdd(n01));
not1 #() X04 (.z(n06),.a(n05),.vss(\0 ),.vdd(n01));
not1 #() X05 (.z(n07),.a(n06),.vss(\0 ),.vdd(n01));
not1 #() X06 (.z(n08),.a(n07),.vss(\0 ),.vdd(n01));
not1 #() X07 (.z(n09),.a(n08),.vss(\0 ),.vdd(n01));
not1 #() X08 (.z(n10),.a(n09),.vss(\0 ),.vdd(n01));
not1 #() X09 (.z(n11),.a(n10),.vss(\0 ),.vdd(n01));
not1 #() X10 (.z(n12),.a(n11),.vss(\0 ),.vdd(n01));
not1 #() X11 (.z(n13),.a(n12),.vss(\0 ),.vdd(n01));
not1 #() X12 (.z(n14),.a(n13),.vss(\0 ),.vdd(n01));
not1 #() X13 (.z(n15),.a(n14),.vss(\0 ),.vdd(n01));
not1 #() X14 (.z(n16),.a(n15),.vss(\0 ),.vdd(n01));
not1 #() X15 (.z(n17),.a(n16),.vss(\0 ),.vdd(n01));
not1 #() X16 (.z(n18),.a(n17),.vss(\0 ),.vdd(n01));
not1 #() X17 (.z(n02),.a(n18),.vss(\0 ),.vdd(n01));
capacitor #(.c(0.1p)) c1 (.p(n18),.n(\0 ));
vsource #(.dc(2.0)) Vdd (.p(n01),.n(\0 ));
#Time       v(n02)     v(n05)     iter(0)   
 0.         0.         0.         0.        
 100.E-12   1.1161     1.1161     7.        
 200.E-12   1.1044     1.1044     7.        
 300.E-12   1.1145     1.1145     8.        
 350.E-12   0.70417    1.664      31.       
 455.E-12   0.85825    2.0832     10.       
 529.E-12   1.9156     1.1287     11.       
 603.E-12   2.0321     0.1957     7.        
 677.E-12   1.9823    -0.082056   8.        
 751.E-12   2.0104     0.036134   8.        
 825.E-12   1.9929    -0.013562   8.        
 899.E-12   2.0055     0.0027597  8.        
 973.E-12   2.0144     0.0019025  7.        
 1.047E-9   0.88153   -0.0018051  8.        
 1.121E-9  -0.055741   1.0253     9.        
 1.195E-9   0.037547   1.9778     9.        
 1.269E-9  -0.02265    1.9981     8.        
 1.343E-9   0.015875   2.0064     8.        
 1.417E-9  -0.011474   1.9922     8.        
 1.491E-9   0.0094217  2.0073     7.        
 1.565E-9  -0.036581   1.9936     7.        
 1.639E-9   1.578      2.0057     9.        
 1.713E-9   2.133      1.1033     8.        
 1.787E-9   1.8833     0.052661   8.        
 1.861E-9   2.0871    -0.019404   8.        
 1.935E-9   1.9288     0.0060374  8.        
 2.009E-9   2.0536    -72.109E-6  8.        
 2.083E-9   1.957     -0.0021328  8.        
 2.157E-9   1.8524     0.0030094  8.        
 2.231E-9   0.39573   -0.037593   8.        
 2.305E-9  -0.16292    1.6153     8.        
 2.379E-9   0.082623   2.1534     7.        
 2.453E-9  -0.038318   1.8642     8.        
 2.527E-9   0.014637   2.0969     8.        
 2.601E-9  -0.0022993  1.9204     8.        
 2.675E-9  -0.0083776  2.0597     10.       
 2.749E-9   0.53069    1.9523     7.        
 2.823E-9   1.8334     2.0414     9.        
 2.897E-9   2.0827     0.61364    8.        
 2.971E-9   1.9382    -0.14614    8.        
 3.045E-9   2.0455     0.073161   8.        
 3.119E-9   1.9643    -0.029062   8.        
 3.193E-9   2.0279     0.0084593  8.        
 3.267E-9   1.9842     0.001595   8.        
 3.341E-9   1.2424    -0.0057123  8.        
 3.415E-9   0.1239     0.1552     8.        
 3.489E-9  -0.051308   1.7203     8.        
 3.563E-9   0.016516   2.1469     8.        
 3.637E-9   0.0014405  1.8788     9.        
 3.711E-9  -0.0099743  2.0879     8.        
 3.785E-9   0.013766   1.9291     8.        
 3.859E-9  -0.04762    2.0535     7.        
 3.933E-9   1.5401     1.9563     9.        
 4.007E-9   2.1131     1.3896     8.        
 4.081E-9   1.8975     0.12833    8.        
 4.155E-9   2.0781    -0.054231   8.        
 4.229E-9   1.9356     0.021372   8.        
 4.303E-9   2.0487    -0.0062156  8.        
 4.377E-9   1.9614    -958.35E-6  10.       
 4.451E-9   2.0114     0.0040967  8.        
 4.525E-9   0.5791    -0.022553   8.        
 4.599E-9  -0.16291    1.5534     8.        
 4.673E-9   0.084128   2.1341     8.        
 4.747E-9  -0.036932   1.8789     8.        
 4.821E-9   0.013791   2.0853     7.        
 4.895E-9  -0.0018981  1.9299     8.        
 4.969E-9  -0.002852   2.0524     7.        
 5.043E-9  -0.0083254  1.9582     7.        
 5.117E-9   1.5886     2.0405     9.        
 5.191E-9   2.147      0.92043    8.        
 5.265E-9   1.8735    -0.019294   9.        
 5.339E-9   2.0935     0.013338   9.        
 5.413E-9   1.9235    -0.0052176  8.        
 5.487E-9   2.0579     0.0016138  8.        
 5.561E-9   1.9538     529.08E-6  8.        
 5.635E-9   1.7844    -0.0014491  7.        
 5.709E-9   0.34989   -0.027217   8.        
 5.783E-9  -0.1488     1.6231     8.        
 5.857E-9   0.073421   2.1586     8.        
 5.931E-9  -0.032542   1.861      8.        
 6.005E-9   0.0107     2.0989     8.        
 6.079E-9   499.2E-6   1.919      8.        
 6.153E-9  -0.030035   2.0606     8.        
 6.227E-9   1.4224     1.951      9.        
 6.301E-9   2.0791     1.4686     9.        
 6.375E-9   1.9212     0.16657    8.        
 6.449E-9   2.064     -0.071465   8.        
 6.523E-9   1.946      0.030159   7.        
 6.597E-9   2.0419    -0.010523   8.        
 6.671E-9   1.9666     781.7E-6   8.        
 6.745E-9   2.0512     0.0035973  8.        
 6.819E-9   0.851     -0.0033183  8.        
 6.893E-9  -0.042769   1.1967     10.       
 6.967E-9   0.024406   2.0206     8.        
 7.041E-9  -0.011936   1.9666     8.        
 7.115E-9   0.0068711  2.0291     8.        
 7.189E-9  -0.0043845  1.9742     8.        
 7.263E-9   0.0034905  2.021      7.        
 7.337E-9  -0.035169   1.9828     7.        
