#Time       v(in)      i(Vin)    
 1.556E-9   1.8       -745.91E-6 
 1.573E-9   1.8       -745.91E-6 
 1.59E-9    1.8       -745.91E-6 
 1.603E-9   1.8       -745.91E-6 
 1.636E-9   1.8       -745.91E-6 
 1.655E-9   1.8       -745.91E-6 
 1.674E-9   1.8       -745.91E-6 
 1.729E-9   1.8       -745.91E-6 
 1.759E-9   1.8       -745.91E-6 
 1.789E-9   1.8       -745.91E-6 
 1.819E-9   1.8       -745.91E-6 
 1.849E-9   1.8       -745.91E-6 
 1.871E-9   1.8       -745.91E-6 
 1.893E-9   1.8       -745.91E-6 
 1.909E-9   1.8       -745.91E-6 
 1.924E-9   1.8       -745.91E-6 
 1.939E-9   1.8       -745.91E-6 
 1.954E-9   1.8       -745.91E-6 
 1.969E-9   1.8       -745.91E-6 
 1.984E-9   1.8       -745.91E-6 
 1.999E-9   1.8       -745.91E-6 
 2.014E-9   1.8       -745.91E-6 
 2.029E-9   1.8       -745.91E-6 
 2.044E-9   1.8       -745.91E-6 
 2.059E-9   1.8       -745.91E-6 
 2.074E-9   1.8       -745.91E-6 
 2.089E-9   1.8       -745.91E-6 
 2.104E-9   1.8       -745.91E-6 
 2.129E-9   1.8       -745.91E-6 
 2.147E-9   1.8       -745.91E-6 
 2.197E-9   1.8       -745.91E-6 
 2.247E-9   1.8       -745.91E-6 
 2.291E-9   1.8       -745.91E-6 
 2.335E-9   1.8       -745.91E-6 
 2.379E-9   1.8       -745.91E-6 
 2.446E-9   1.8       -745.91E-6 
 2.513E-9   1.8       -745.91E-6 
 2.58E-9    1.8       -745.91E-6 
 2.622E-9   1.8       -745.91E-6 
 2.664E-9   1.8       -745.91E-6 
 2.706E-9   1.8       -745.91E-6 
 2.748E-9   1.8       -745.91E-6 
 2.79E-9    1.8       -745.91E-6 
 2.82E-9    1.8       -745.91E-6 
 2.85E-9    1.8       -745.91E-6 
 2.88E-9    1.8       -745.91E-6 
 2.901E-9   1.8       -745.91E-6 
 2.937E-9   1.8       -745.91E-6 
 2.973E-9   1.8       -745.91E-6 
 3.E-9      1.8       -745.91E-6 
 3.027E-9   1.8       -745.91E-6 
 3.048E-9   1.8       -745.91E-6 
 3.069E-9   1.8       -745.91E-6 
 3.09E-9    1.8       -745.91E-6 
 3.111E-9   1.8       -745.91E-6 
 3.132E-9   1.8       -745.91E-6 
 3.153E-9   1.8       -745.91E-6 
 3.174E-9   1.8       -745.91E-6 
 3.195E-9   1.8       -745.91E-6 
 3.216E-9   1.8       -745.91E-6 
 3.276E-9   1.8       -745.91E-6 
 3.336E-9   1.8       -745.91E-6 
 3.377E-9   1.8       -745.91E-6 
 3.519E-9   1.8       -745.91E-6 
 3.598E-9   1.8       -745.91E-6 
 3.727E-9   1.8       -745.91E-6 
 3.814E-9   1.8       -745.91E-6 
 3.994E-9   1.8       -745.91E-6 
 4.174E-9   1.8       -745.91E-6 
 4.354E-9   1.8       -745.91E-6 
 4.534E-9   1.8       -745.91E-6 
 4.645E-9   1.8       -745.91E-6 
 4.756E-9   1.8       -745.91E-6 
 4.829E-9   1.8       -745.91E-6 
 4.952E-9   1.8       -745.91E-6 
 5.037E-9   1.8       -745.91E-6 
 5.122E-9   1.8       -745.91E-6 
 5.324E-9   1.8       -745.91E-6 
 5.526E-9   1.8       -745.91E-6 
 5.728E-9   1.8       -745.91E-6 
 6.033E-9   1.8       -745.91E-6 
 6.186E-9   1.8       -745.91E-6 
 6.339E-9   1.8       -745.91E-6 
 6.492E-9   1.8       -745.91E-6 
 6.604E-9   1.8       -745.91E-6 
 6.716E-9   1.8       -745.91E-6 
 6.828E-9   1.8       -745.91E-6 
 6.917E-9   1.8       -745.91E-6 
 7.006E-9   1.8       -745.91E-6 
 7.095E-9   1.8       -745.91E-6 
 7.184E-9   1.8       -745.91E-6 
 7.246E-9   1.8       -745.91E-6 
 7.335E-9   1.8       -745.91E-6 
 7.424E-9   1.8       -745.91E-6 
 7.513E-9   1.8       -745.91E-6 
 7.602E-9   1.8       -745.91E-6 
 7.691E-9   1.8       -745.91E-6 
 7.75E-9    1.8       -745.91E-6 
 7.866E-9   1.8       -745.91E-6 
 7.933E-9   1.8       -745.91E-6 
 8.04E-9    1.8       -745.91E-6 
 8.147E-9   1.8       -745.91E-6 
 8.254E-9   1.8       -745.91E-6 
 8.418E-9   1.8       -745.91E-6 
 8.51E-9    1.8       -745.91E-6 
 8.782E-9   1.8       -745.91E-6 
